LOADED 12 artifacts (4 anchors from f10_caliber, sha-asserted; 8 new); device sha256 8684d9a9f43a8d15beaa559cd12bd8f2977a3d088b01b93835f60f2bbf98a53d; identical anchor set n=10038 first 2022-01-31 00:00 last 2026-08-30 20:00
window sizes: 2024=2196, 2025=2190, 2026<=08-10=1332, 2024->26=5718, 2025->26=3522
UNITS: g = net_ex/gross_total [bps/anchor per unit gross]; NAV %/yr at L=2 (arithmetic) = mean g × 6 anchors/day × 365 days × 2 ÷ 1e4 × 100 = mean g × 43.8; 2×DD %NAV = maxDD(bps of g) × 2 / 100
### §B.1a Levels — PRIMARY per-gross caliber (g = net_ex/gross_total, bps/anchor per unit gross); arm d30_n2_c42; ⚠ = negative mean; NAV %/yr @2× = mean × 43.8 (per-gross only)

| φ | seed | window | mean bps/anchor | Sharpe (anchor) | maxDD bps | 2×DD %NAV | turnover/gross | NAV %/yr @2× | gross_total | w3_king | n |
| 0.45 (在役) | s42 | 2026<=08-10 | +2.510 | +4.95 | 356 | — | 0.0351 | — | 0.782 | 0.388 | 1332 |
| 0.45 (在役) | s42 | 2024->26 | +0.704 | +2.05 | 846 | — | 0.0795 | — | 0.585 | 0.652 | 5718 |
| 0.45 (在役) | s42 | 2025->26 | +1.075 | +2.74 | 409 | — | 0.0717 | — | 0.607 | 0.608 | 3522 |
| 0.45 (在役) | s2027 | 2024 | +0.147 | +0.61 | 852 | — | 0.0900 | — | 0.552 | 0.723 | 2196 |
| 0.45 (在役) | s2027 | 2025 | +0.268 | +0.86 | 404 | — | 0.0826 | — | 0.521 | 0.742 | 2190 |
| 0.45 (在役) | s2027 | 2026<=08-10 | +2.488 | +4.90 | 345 | — | 0.0370 | — | 0.784 | 0.388 | 1332 |
| 0.45 (在役) | s2027 | 2024->26 | +0.739 | +2.13 | 852 | — | 0.0748 | — | 0.595 | 0.652 | 5718 |
| 0.45 (在役) | s2027 | 2025->26 | +1.107 | +2.78 | 424 | — | 0.0654 | — | 0.621 | 0.608 | 3522 |
| 0.55 | s42 | 2024 | +0.119 | +0.52 | 770 | — | 0.0998 | — | 0.536 | 0.723 | 2196 |
| 0.55 | s42 | 2025 | +0.200 | +0.69 | 400 | — | 0.1114 | — | 0.475 | 0.742 | 2190 |
| 0.55 | s42 | 2026<=08-10 | +2.594 | +5.09 | 362 | — | 0.0357 | — | 0.778 | 0.388 | 1332 |
| 0.55 | s42 | 2024->26 | +0.727 | +2.16 | 770 | — | 0.0893 | — | 0.569 | 0.652 | 5718 |
| 0.55 | s42 | 2025->26 | +1.105 | +2.84 | 400 | — | 0.0828 | — | 0.590 | 0.608 | 3522 |
| 0.55 | s2027 | 2024 | +0.165 | +0.72 | 803 | — | 0.0966 | — | 0.540 | 0.723 | 2196 |
| 0.55 | s2027 | 2025 | +0.283 | +0.94 | 397 | — | 0.0926 | — | 0.505 | 0.742 | 2190 |
| 0.55 | s2027 | 2026<=08-10 | +2.580 | +5.05 | 347 | — | 0.0382 | — | 0.780 | 0.388 | 1332 |
| 0.55 | s2027 | 2024->26 | +0.773 | +2.26 | 803 | — | 0.0815 | — | 0.582 | 0.652 | 5718 |
| 0.55 | s2027 | 2025->26 | +1.152 | +2.92 | 425 | — | 0.0720 | — | 0.609 | 0.608 | 3522 |
| 0.65 | s42 | 2024 | +0.150 | +0.68 | 685 | — | 0.1083 | — | 0.530 | 0.723 | 2196 |
| 0.65 | s42 | 2025 | +0.223 | +0.78 | 393 | — | 0.1296 | — | 0.461 | 0.742 | 2190 |
| 0.65 | s42 | 2026<=08-10 | +2.633 | +5.13 | 363 | — | 0.0365 | — | 0.776 | 0.388 | 1332 |
| 0.65 | s42 | 2024->26 | +0.756 | +2.26 | 685 | — | 0.0998 | — | 0.561 | 0.652 | 5718 |
| 0.65 | s42 | 2025->26 | +1.135 | +2.92 | 393 | — | 0.0944 | — | 0.580 | 0.608 | 3522 |
| 0.65 | s2027 | 2024 | +0.204 | +0.91 | 694 | — | 0.1038 | — | 0.536 | 0.723 | 2196 |
| 0.65 | s2027 | 2025 | +0.312 | +1.05 | 384 | — | 0.1017 | — | 0.499 | 0.742 | 2190 |
| 0.65 | s2027 | 2026<=08-10 | +2.575 | +5.01 | 351 | — | 0.0396 | — | 0.778 | 0.388 | 1332 |
| 0.65 | s2027 | 2024->26 | +0.797 | +2.35 | 694 | — | 0.0880 | — | 0.579 | 0.652 | 5718 |
| 0.65 | s2027 | 2025->26 | +1.168 | +2.96 | 407 | — | 0.0782 | — | 0.605 | 0.608 | 3522 |

### §B.2b Δ(φ − 0.45) — SECONDARY device scale (net_ex, bps/anchor, unit replay book); paired anchors; UTC-day-block bootstrap 2000, seed 20260905; cell = Δ ± s.e. [CI95] P(Δ>0)

